name,filter,mjd,flux,flux_err,zp,zpsys
03D1ax,sdssi,53210.6,0.38051,0.19634000000000001,25,bd17
03D1bk,sdssg,52880.58,-0.038572999999999996,0.052572,25,bd17
03D1bk,sdssi,52881.5,-0.16887,0.16506,25,bd17
03D1bk,sdssr,52881.54,0.14098,0.098949,25,bd17
03D1bk,sdssz,52881.56,0.11597000000000002,0.6909100000000001,25,bd17
03D1bk,sdssi,52886.6,-0.44558,0.22463,25,bd17
03D1bk,sdssg,52900.5,0.26236,0.15117,25,bd17
03D1bk,sdssi,52900.53,1.9025999999999998,0.19614,25,bd17
03D1bk,sdssr,52900.56,0.5764,0.15392,25,bd17
03D1bk,sdssz,52900.59,0.58823,0.93832,25,bd17
03D1bk,sdssi,52904.53,2.9279,0.16725,25,bd17
03D1bk,sdssr,52904.57,1.6849,0.13187000000000001,25,bd17
03D1bk,sdssg,52904.6,0.11700999999999999,0.077239,25,bd17
03D1bk,sdssg,52908.53,0.31585,0.073433,25,bd17
03D1bk,sdssr,52908.56,2.506,0.1158,25,bd17
03D1bk,sdssi,52908.6,4.1324000000000005,0.19611,25,bd17
03D1bk,sdssz,52909.61,3.6108,0.8464700000000001,25,bd17
03D1bk,sdssi,52912.49,4.9312000000000005,0.19064,25,bd17
03D1bk,sdssr,52914.57,3.2519,0.22114,25,bd17
03D1bk,sdssi,52915.62,5.104,0.2495,25,bd17
03D1bk,sdssr,52916.46,3.1347000000000005,0.11720000000000001,25,bd17
03D1bk,sdssi,52929.44,4.5418,0.29631,25,bd17
03D1bk,sdssr,52929.52,2.3064,0.39689,25,bd17
03D1bk,sdssr,52930.37,1.4058000000000002,0.18219000000000002,25,bd17
03D1bk,sdssg,52930.39,0.00045904,0.071325,25,bd17
03D1bk,sdssz,52930.41,3.0269999999999997,0.80061,25,bd17
03D1bk,sdssi,52933.47,4.3091,0.14345999999999998,25,bd17
03D1bk,sdssr,52933.5,1.6215000000000002,0.23296,25,bd17
03D1bk,sdssr,52934.5,1.1965999999999999,0.11655999999999998,25,bd17
03D1bk,sdssg,52934.53,0.16108,0.053241,25,bd17
03D1bk,sdssi,52937.48,3.6700999999999997,0.1483,25,bd17
03D1bk,sdssg,52937.55,0.16908,0.10280999999999998,25,bd17
03D1bk,sdssr,52937.57,1.2868000000000002,0.16982,25,bd17
03D1bk,sdssz,52938.51,4.9056,1.0944,25,bd17
03D1bk,sdssi,52942.46,2.7289,0.23544,25,bd17
03D1bk,sdssi,52944.35,2.9238999999999997,0.18757000000000001,25,bd17
03D1bk,sdssg,52944.39,-0.039613,0.1148,25,bd17
03D1bk,sdssr,52944.43,0.56674,0.13693,25,bd17
03D1bk,sdssz,52944.46,2.8,0.7256999999999999,25,bd17
03D1bk,sdssi,52961.38,0.60369,0.24090999999999999,25,bd17
03D1bk,sdssg,52961.45,-0.013021,0.10585999999999998,25,bd17
03D1bk,sdssr,52961.48,0.15102000000000002,0.17334,25,bd17
03D1bk,sdssz,52962.31,0.7696600000000001,0.6927500000000001,25,bd17
03D1bk,sdssi,52964.32,0.7778100000000001,0.21822,25,bd17
03D1bk,sdssg,52964.37,0.00045484,0.08905099999999999,25,bd17
03D1bk,sdssr,52964.4,0.037472,0.18789,25,bd17
03D1bk,sdssz,52964.44,1.0025,1.7856,25,bd17
03D1bk,sdssr,52968.37,0.25392,0.19815000000000002,25,bd17
03D1bk,sdssi,52972.27,-0.07122,0.34525,25,bd17
03D1bk,sdssi,52990.26,0.39458,0.22166999999999998,25,bd17
03D1bk,sdssr,52990.34,0.4632,0.16207999999999997,25,bd17
03D1bk,sdssi,52992.24,-0.12454000000000001,0.21158000000000002,25,bd17
03D1bk,sdssr,52992.29,0.025659,0.13212,25,bd17
03D1bk,sdssg,52992.33,0.010712999999999999,0.09193799999999999,25,bd17
03D1bk,sdssi,52995.35,0.18288000000000001,0.19465,25,bd17
03D1bk,sdssr,52995.39,0.0058712,0.12574000000000002,25,bd17
03D1bk,sdssi,52999.24,0.30464,0.19881000000000001,25,bd17
03D1bk,sdssr,52999.28,0.028978999999999998,0.11162000000000001,25,bd17
03D1bk,sdssg,52999.32,0.038397,0.077305,25,bd17
03D1bk,sdssz,52999.36,0.84501,1.3167,25,bd17
03D1bk,sdssz,53000.24,-0.04303,0.59758,25,bd17
03D1bk,sdssi,53018.26,0.10585000000000001,0.172,25,bd17
03D1bk,sdssr,53018.32,0.032936,0.14852,25,bd17
03D1bk,sdssi,53022.28,0.16675,0.23491,25,bd17
03D1bk,sdssr,53022.32,-0.3397,0.39195,25,bd17
03D1bk,sdssr,53023.23,-0.002209,0.10097999999999999,25,bd17
03D1bk,sdssi,53026.27,0.38332,0.18941,25,bd17
03D1bk,sdssr,53026.34,0.18724,0.12127,25,bd17
03D1bk,sdssr,53207.6,-0.1945,0.12968,25,bd17
03D1bk,sdssi,53210.6,0.1164,0.17846,25,bd17
03D1bk,sdssi,53227.58,0.08782899999999999,0.18262,25,bd17
03D1bk,sdssr,53227.61,0.02905,0.14948,25,bd17
03D1bk,sdssz,53228.6,-0.41914999999999997,0.40834000000000004,25,bd17
03D1bk,sdssg,53229.59,0.033096,0.048968,25,bd17
03D1bk,sdssi,53231.56,-0.068739,0.23969000000000001,25,bd17
03D1bk,sdssr,53231.58,0.0095978,0.10288,25,bd17
03D1bk,sdssg,53231.6,-0.02943,0.060934999999999996,25,bd17
03D1bk,sdssi,53234.6,0.11038,0.12072000000000001,25,bd17
03D1bk,sdssr,53236.57,-0.14019,0.14211,25,bd17
